frame_id,hand_id,手类型,finger_id,finger_name,node_id,node_name,x,y,z
3740,54,右手,0,拇指,2,关节2(中间),69.42,173.80,-33.87
3740,54,右手,0,拇指,3,关节3(指尖),28.77,180.80,-17.48
3740,54,右手,1,食指,1,关节1(靠近手掌),48.94,175.18,-67.61
3740,54,右手,1,食指,2,关节2(中间),22.97,179.59,-55.70
3740,54,右手,1,食指,3,关节3(指尖),-1.84,181.66,-41.06
3740,54,右手,2,中指,1,关节1(靠近手掌),52.89,168.89,-82.03
3740,54,右手,2,中指,2,关节2(中间),19.76,173.22,-84.92
3740,54,右手,2,中指,3,关节3(指尖),-20.06,178.05,-82.77
3740,54,右手,3,无名指,1,关节1(靠近手掌),60.84,158.26,-96.21
3740,54,右手,3,无名指,2,关节2(中间),31.26,167.99,-102.92
3740,54,右手,3,无名指,3,关节3(指尖),0.44,178.23,-107.59
3740,54,右手,4,小指,1,关节1(靠近手掌),70.93,147.25,-104.68
3740,54,右手,4,小指,2,关节2(中间),54.34,151.28,-117.98
3740,54,右手,4,小指,3,关节3(指尖),30.34,153.45,-133.16
3741,54,右手,0,拇指,1,关节1(靠近手掌),109.30,164.84,-45.73
3741,54,右手,0,拇指,2,关节2(中间),67.22,174.74,-28.68
3741,54,右手,0,拇指,3,关节3(指尖),26.95,182.09,-11.12
3741,54,右手,1,食指,1,关节1(靠近手掌),46.62,177.79,-62.95
3741,54,右手,1,食指,2,关节2(中间),20.54,181.93,-49.73
3741,54,右手,1,食指,3,关节3(指尖),-4.28,183.82,-33.54
3741,54,右手,2,中指,1,关节1(靠近手掌),50.29,171.66,-77.54
3741,54,右手,2,中指,2,关节2(中间),16.65,176.49,-79.33
3741,54,右手,2,中指,3,关节3(指尖),-23.61,180.97,-74.70
3741,54,右手,3,无名指,1,关节1(靠近手掌),58.07,161.16,-91.85
3741,54,右手,3,无名指,2,关节2(中间),28.63,171.57,-97.86
3741,54,右手,3,无名指,3,关节3(指尖),-2.18,182.44,-101.75
3741,54,右手,4,小指,1,关节1(靠近手掌),67.95,150.13,-100.42
3741,54,右手,4,小指,2,关节2(中间),51.21,154.58,-113.68
3741,54,右手,4,小指,3,关节3(指尖),26.78,157.22,-128.33
3742,54,右手,0,拇指,1,关节1(靠近手掌),106.39,166.71,-41.54
3742,54,右手,0,拇指,2,关节2(中间),64.64,175.51,-24.01
3742,54,右手,0,拇指,3,关节3(指尖),24.92,182.31,-5.89
3742,54,右手,1,食指,1,关节1(靠近手掌),43.93,180.66,-58.45
3742,54,右手,1,食指,2,关节2(中间),17.97,184.64,-44.45
3742,54,右手,1,食指,3,关节3(指尖),-6.23,186.11,-27.09
3742,54,右手,2,中指,1,关节1(靠近手掌),47.40,174.75,-73.18
3742,54,右手,2,中指,2,关节2(中间),13.55,179.87,-74.00
3742,54,右手,2,中指,3,关节3(指尖),-26.56,184.14,-67.47
3742,54,右手,3,无名指,1,关节1(靠近手掌),55.04,164.43,-87.68
