frame_id,hand_id,hand_type,finger_id,finger_name,bone_name,start_x,start_y,start_z,end_x,end_y,end_z
43363,36,right,1,Index,Metacarpal,14.14,142.98,-54.46,-4.82,157.25,-121.32
43363,36,right,1,Index,Proximal,-4.82,157.25,-121.32,-18.60,157.55,-150.25
43363,36,right,1,Index,Intermediate,-18.60,157.55,-150.25,-26.44,157.73,-170.00
43363,36,right,1,Index,Distal,-26.44,157.73,-170.00,-32.19,158.92,-185.87
43363,36,right,2,Middle,Metacarpal,6.56,145.62,-53.23,-18.38,163.99,-112.95
43363,36,right,2,Middle,Proximal,-18.38,163.99,-112.95,-38.80,163.40,-141.64
43363,36,right,2,Middle,Intermediate,-38.80,163.40,-141.64,-53.06,163.63,-163.32
43363,36,right,2,Middle,Distal,-53.06,163.63,-163.32,-62.11,164.99,-179.47
43363,36,right,3,Ring,Metacarpal,-0.70,153.21,-49.31,-29.36,174.27,-98.13
43363,36,right,3,Ring,Proximal,-29.36,174.27,-98.13,-54.04,172.65,-120.74
43363,36,right,3,Ring,Intermediate,-54.04,172.65,-120.74,-68.03,171.09,-134.56
43363,36,right,3,Ring,Distal,-68.03,171.09,-134.56,-77.08,170.40,-147.11
43363,36,right,4,Pinky,Metacarpal,-0.65,162.20,-41.94,-33.33,183.42,-82.04
43363,36,right,4,Pinky,Proximal,-33.33,183.42,-82.04,-52.83,189.43,-92.10
43363,36,right,4,Pinky,Intermediate,-52.83,189.43,-92.10,-66.65,194.57,-100.80
43363,36,right,4,Pinky,Distal,-66.65,194.57,-100.80,-75.22,198.04,-107.78
43364,36,right,0,Thumb,Metacarpal,23.60,149.97,-60.14,23.60,149.97,-60.14
43364,36,right,0,Thumb,Proximal,23.60,149.97,-60.14,28.54,137.27,-104.09
43364,36,right,0,Thumb,Intermediate,28.54,137.27,-104.09,29.11,132.18,-128.49
43364,36,right,0,Thumb,Distal,29.11,132.18,-128.49,27.78,129.99,-144.86
43364,36,right,1,Index,Metacarpal,10.18,143.28,-60.24,-9.05,156.00,-126.69
43364,36,right,1,Index,Proximal,-9.05,156.00,-126.69,-22.64,155.22,-155.24
43364,36,right,1,Index,Intermediate,-22.64,155.22,-155.24,-30.39,154.58,-174.79
43364,36,right,1,Index,Distal,-30.39,154.58,-174.79,-36.11,155.16,-190.62
43364,36,right,2,Middle,Metacarpal,2.64,145.77,-58.97,-22.55,162.59,-118.40
43364,36,right,2,Middle,Proximal,-22.55,162.59,-118.40,-42.92,161.01,-146.70
43364,36,right,2,Middle,Intermediate,-42.92,161.01,-146.70,-57.21,160.36,-168.01
43364,36,right,2,Middle,Distal,-57.21,160.36,-168.01,-66.33,161.09,-183.94
43364,36,right,3,Ring,Metacarpal,-4.68,153.33,-55.12,-33.55,172.95,-103.78
43364,36,right,3,Ring,Proximal,-33.55,172.95,-103.78,-57.94,170.25,-126.10
43364,36,right,3,Ring,Intermediate,-57.94,170.25,-126.10,-71.83,167.95,-139.81
43364,36,right,3,Ring,Distal,-71.83,167.95,-139.81,-81.00,166.64,-152.28
43364,36,right,4,Pinky,Metacarpal,-4.85,162.42,-47.90,-37.67,182.30,-87.90
43364,36,right,4,Pinky,Proximal,-37.67,182.30,-87.90,-57.21,187.42,-97.72
43364,36,right,4,Pinky,Intermediate,-57.21,187.42,-97.72,-71.22,191.62,-106.25
43364,36,right,4,Pinky,Distal,-71.22,191.62,-106.25,-79.98,194.40,-113.13
43365,36,right,0,Thumb,Metacarpal,19.51,150.46,-65.54,19.51,150.46,-65.54
43365,36,right,0,Thumb,Proximal,19.51,150.46,-65.54,24.59,136.98,-109.09
43365,36,right,0,Thumb,Intermediate,24.59,136.98,-109.09,25.14,131.40,-133.34
